DEM topic	LABOR top	topic#	definition	weight	words
		110		0.003	pfd pacific central market copper american steel york stocks stock southern ohio ptd cent northern union quotations railway international today 
		111	state and county government	0.01827	state law tax legislature board county commission governor laws public general bill act section fund property amendment year roads provided 
		112	"trials, misc (governmental) news"	0.05954	time matter fact question public statement case present letter general action part report opinion give asked effect order office reason 
113		113	"legislation, congress"	0.01542	bill house senate committee senator tariff session vote congress measure members passed resolution senators amendment representative bills introduced president washington 
		114		0.00232	hon keith tbo phillip breed kelvin sed rollins toy anticipate bart wagon plainsman jack demand portrait revelation puffer remington virginia 
		115	"clothing ads, women's (?)"	0.01267	white silk black women lace color blue wear woman satin hat long skirt trimmed dress coat hats worn ribbon style 
		116	"fiction, light stories"	0.05415	man time day good young asked woman told don't wife boy long girl back thing replied put house home story 
		117	clothing and textile ads	0.01175	yard sale worth white price silk values goods special fine linen waists wide regular dress colors dresses lace fancy lot 
		118	banking	0.02405	bank national money savings business interest banks capital insurance paid state account stock deposits cent banking deposit bonds loans loan 
	119	119	strikes	0.0223	labor union men strike workers unions work federation organized wages trades international members organization day label american trade wage city 
		120	furniture ads	0.00899	size oak price furniture rugs save front sale bed table wrapper chairs room leather special tables iron dining mahogany rug 
	121	121	"miscellaneous (narrative, fiction, longform)"	0.05108	business country great years people city large work men state time states fact year present part good interest public number 
		122	ads for remedies (kidney)	0.0045	kidney pills kidneys doan's back trouble remedy bladder sale cure dealers buffalo bemidji cents remember price states united pains sole 
		123	mn places	0.02126	bemidji minnesota lake northern county state city paul cass pioneer minneapolis beltrami minn duluth falls river red johnson rapids grand 
		124		0.00267	district including general treasurer's special arid minter ahd thfe treasurer haye aii anil thd acquaint ent number dicky thei treasurers 
		125	contests and prizes	0.00626	contest prize prizes votes loo awarded mrs district number subscriptions gold west win contestants lady won judges grand offered vote 
		126	"trials, murders"	0.00999	murder jury trial case witness man shot mrs attorney negro death told court testimony killed evidence today defense night wife 
		127	county books - colfax gazette	0.00929	colfax wife blk spokane lot pullman real lots whitman bank add state mtg palouse neq seq livestock nwq swq gazette 
		128	tobacco	0.0038	united states tobacco district bankrupt bankruptcy snuff leaf creditors currency porto comptroller prove acts islands natural rico absolutely complied discharge 
		129	subscription ads	0.01394	paper year daily sunday months paid papers subscription newspaper news dally advertising mall month matter published week editor address mail 
	130	130	"socialist party, socialism"	0.00547	class socialist labor workers working party socialism political socialists public capitalist system people power land work charleston wage struggle argus 
		131	store and hotel ads	0.01565	store hotel business drug ice shop goods city house good stock street sale line building call place room grocery cream 
	132	132	encouragement to advertise	0.05566	good time man money work business people home day men year give don't years pay things put find life town 
133		133	cattle brands	0.00624	valentine left nebraska branded cattle horses side nebr cherry hip lake wood shoulder town range sale rosebud ranch cut kennedy 
134		134	farming	0.01879	corn farmers crop farm wheat seed soil grain good farmer year crops trees bushels winter fruit land dry plant oats 
135		135	Personal news	0.03518	mrs week home sunday miss saturday returned monday visit visiting tuesday spent evening friday friends days business left wednesday family 
		136	boats and water transport	0.01254	boat ship river steamer sea lake water navy captain vessel crew boats island fleet york harbor coast vessels naval men 
		137	help wanted	0.01891	good wanted address bee work housework write business omaha man apply men family general wages call ave free bldg experience 
		138	ads for hair products	0.00517	hair scalp dandruff skin gray sage remedy color falling sulphur tonic preparation bottle store druggists drug sold treatment natural rexall 
		139	automobiles	0.01971	car machine automobile oil gas cars electric motor light stove heat power auto iron coal machines steel air engine company 
140		140	personal news	0.01139	falls tbe john minneapolis monday wednesday returned cloud tuesday frank royalton visit miss paul pierz business saturday mrs week peter 
		141	"sports, baseball"	0.00672	hits hit bases base score inning game struck innings balls time sacrifice double run ninth stolen ball left batted pitched 
		142	apartments for rent?	0.01134	rooms modern room furnished ave housekeeping harney private phone family front board distance light walking bath rent douglas heat water 
		143	lodge meetings	0.00459	hall meets month lodge sec morris fourth mccook mrs masonic invited pres grand saturday thursday cordially knights chapter monday rec 
		144		0.00209	miles paul duluth minneapolis minnesota water river summer state northern mississippi lake boating mainsabout marie ste wells postal sault home 
		145	national government	0.01893	president washington taft secretary states roosevelt government congress department united service general national chief office colonel indian white today senator 
		146	ads for remedies (skin)	0.00279	cuticura ointment soap remedies skin eczema itching cured person potter hands months face head mailed boston corp receipt cuti cura 
147		147	official notices of real estate?	0.00871	day county sale mortgage state notice interest o'clock date office minnesota dollars due public dated highest bidder thereof sum deed 
		148	"personal news, society pages"	0.01237	mrs miss home evening wedding bride young party served club marriage friends afternoon guests entertained married church honor ceremony present 
		149	OCRjunk	0.00615	iii ill lit tit til mil i.i ift lha lii kit r.o l.t ilia r.t tli t.i i'm l.o i'i 
